board	numPegs	exIDDFS	ex1	ex2	ex3	ex4	exBase	tIDDFS	t1	t2	t3	t4	tBase
grandom_73	6	71	13	14	13	14	14	0	0	0	0	0	0
grandom_74	7	367	35	27	64	40	33	0	0	0	0	0	0
grandom_75	20	14042338	589	227	17920	14583	1920	424.265	0	0	3.531	0.625	0.078
grandom_76	2	2	2	2	2	2	2	0	0	0	0	0	0
grandom_77	13	27293	111	999	79	75	101	0.875	0	0	0	0	0
grandom_78	17	1353627	11602	831	2542	6941	31856	40.297	0.797	0	0.5	0.266	1.125
grandom_79	18	2610756	182	663	375	503	2223	80.297	0	0	0.094	0	0.094
grandom_80	20	14722774	12759	17683	37724	14800	23304	451.188	1.063	0.796	6.875	0.656	0.938
grandom_81	12	33515	116	202	797	82	49	1	0	0	0.157	0	0
grandom_82	9	2874	64	79	58	191	28	0.094	0	0	0	0	0
grandom_83	3	5	4	4	4	4	4	0	0	0	0	0	0
grandom_84	17	942001	1256	6784	1644	996	18837	30.046	0.11	0.328	0.359	0.063	0.75
grandom_85	9	358	36	29	28	38	24	0	0	0	0	0	0
grandom_86	5	29	10	10	10	10	10	0	0	0	0	0	0
grandom_87	17	916258	719	2962	1079	3648	594	29.048	0.062	0.125	0.219	0.156	0
grandom_88	11	3071	82	108	58	86	70	0.109	0	0	0	0	0
grandom_89	16	350187	212	7095	11691	5321	187	11.032	0	0.297	1.984	0.235	0
grandom_90	18	5043043	779	21890	1533	3287	21844	153.828	0.062	0.907	0.359	0.14	0.86
grandom_91	9	426	38	42	46	43	66	0	0	0	0	0	0
grandom_92	10	1563	45	66	41	46	36	0	0	0	0	0	0
grandom_93	14	147081	1002	1078	10214	2071	873	4.656	0.094	0.047	1.656	0.094	0
grandom_94	5	16	7	7	7	7	7	0	0	0	0	0	0
grandom_95	2	1	2	2	2	2	2	0	0	0	0	0	0
grandom_96	18	2696151	20547	951	1009	14011	19096	82.922	1.563	0.047	0.281	0.609	0.735
grandom_97	17	1036672	252	2959	133	205	258	31	0	0.125	0	0	0
grandom_98	7	203	26	30	18	41	53	0	0	0	0	0	0
grandom_99	7	205	19	26	27	19	19	0	0	0	0	0	0
mean	11	1979736	19201	4394	47084	8917	5146	60.832	1.250	0.178	6.722	0.354	0.187
median	11	6417	95	128	74	114	92	0.219	0	0	0	0	0
